parameter	value
pastml_version	1.9.20
character	Country
log_likelihood	-526.8437647537379
log_likelihood_restricted_JOINT	-547.2403006224287
log_likelihood_restricted_MAP	-552.9524081837275
log_likelihood_restricted_MPPA	-532.8071366951424
method	MPPA
model	F81
num_nodes	536
num_scenarios	3.56644e+15
num_states_per_node_avg	1.1194029850746268
num_tips	269
num_unresolved_nodes	40
percentage_of_unresolved_nodes	7.462686567164179
scaling_factor	0.01147161136181636
state_changes_per_avg_branch	0.27995671720318277
Australia	0.09670493988079631
Bangladesh	0.007728701170608386
Belarus	1.7820748308407376e-10
Belize	1.7820748308407376e-10
Brazil	1.7820748308407376e-10
Bulgaria	0.007727729937628546
Canada	0.07337762460590132
China	0.024711089868764833
Costa Rica	0.06015315940217377
Czech Republic	1.7820748308407376e-10
Denmark	1.7820748308407376e-10
Ecuador	1.7820748308407376e-10
Egypt	0.007727532175713416
Finland	1.7820748308407376e-10
French Guiana	1.7820748308407376e-10
Gabon	0.04389294215622172
Germany	0.007728582477311817
Greece	1.7820748308407376e-10
Greenland	1.7820748308407376e-10
Honduras	0.10961557597875643
India	1.7820748308407376e-10
Kenya	0.01657275807078189
Korea	1.7820748308407376e-10
Madagascar	0.04725665323501467
Malaysia	0.17520857076615637
Mexico	0.024734564806674048
New Zealand	0.014873473938699141
Norway	1.7820748308407376e-10
Pakistan	0.007727532175713416
Panama	0.1342856414484498
Papua New Guinea	0.008634431179926067
Philippines	0.00772335712954362
Puerto Rico	1.7820748308407376e-10
Saudi Arabia	0.007726444921458945
Slovakia	1.7820748308407376e-10
South Africa	0.02470386785627372
South Korea	1.7820748308407376e-10
Spain	1.7820748308407376e-10
Thailand	0.029573027211474773
USA	0.061433589093345654
United Kingdom	0.00017820748308407377
