parameter	value
pastml_version	1.9.20
character	Country
log_likelihood	-900.0137131635214
log_likelihood_restricted_JOINT	-931.8952360191545
log_likelihood_restricted_MAP	-949.1859892733733
log_likelihood_restricted_MPPA	-912.7643468827757
method	MPPA
model	F81
num_nodes	864
num_scenarios	9.81443e+27
num_states_per_node_avg	1.1388888888888888
num_tips	435
num_unresolved_nodes	68
percentage_of_unresolved_nodes	7.87037037037037
scaling_factor	0.01156364742546212
state_changes_per_avg_branch	0.29095427841105
Australia	0.10094971575089386
Bangladesh	0.02383368238021177
Belarus	0.006039862785608261
Belize	1.0970906262587157e-09
Brazil	1.0970906262587157e-09
Bulgaria	0.03516258817704036
Canada	0.11099236188651991
China	0.023837934807027002
Costa Rica	0.05148147699080028
Czech Republic	1.0970906262587157e-09
Denmark	1.0970906262587157e-09
Ecuador	1.0970906262587157e-09
Egypt	0.005529356227213697
Finland	1.0970906262587157e-09
French Guiana	0.005528733227998121
Gabon	0.033013396120105766
Germany	0.022004324712495024
Greece	0.005527487840019469
Greenland	1.0970906262587157e-09
Honduras	0.077255315166718
India	1.0970906262587157e-09
Kenya	0.016175035316128357
Korea	1.0970906262587157e-09
Madagascar	0.040047294073813265
Malaysia	0.14248976774306463
Mexico	0.031130449015034835
New Zealand	0.004264493545691448
Norway	1.0970906262587157e-09
Pakistan	0.023772971814664742
Panama	0.08229533326210609
Papua New Guinea	0.035646923567897906
Philippines	0.005528010492300826
Puerto Rico	1.0970906262587157e-09
Saudi Arabia	0.015528903500124393
Slovakia	1.0970906262587157e-09
South Africa	0.028365911873220115
South Korea	1.0970906262587157e-09
Spain	0.015521539730007625
Thailand	0.018077907937281493
USA	0.0389021171675759
United Kingdom	0.001097090626258716
