parameter	value
pastml_version	1.9.20
character	Country
log_likelihood	-335.89112624084134
log_likelihood_restricted_JOINT	-347.8670351708418
log_likelihood_restricted_MAP	-348.5251573636203
log_likelihood_restricted_MPPA	-342.5034146986157
method	MPPA
model	F81
num_nodes	327
num_scenarios	7.86432e+10
num_states_per_node_avg	1.1529051987767585
num_tips	166
num_unresolved_nodes	24
percentage_of_unresolved_nodes	7.339449541284404
scaling_factor	0.011783566964761107
state_changes_per_avg_branch	0.3123880148750141
Australia	0.0987689502045936
Bangladesh	0.03555056142232786
Belarus	0.014902320376430312
Belize	3.2190692791168147e-10
Brazil	3.2190692791168147e-10
Bulgaria	0.08707398530845627
Canada	0.1427271739140931
China	0.012188842970832513
Costa Rica	0.05273625149928203
Czech Republic	3.2190692791168147e-10
Denmark	3.2190692791168147e-10
Ecuador	3.2190692791168147e-10
Egypt	3.2190692791168147e-10
Finland	3.2190692791168147e-10
French Guiana	0.012343404109990814
Gabon	0.013321718514717171
Germany	0.055832293724408975
Greece	0.012346345128709307
Greenland	3.2190692791168147e-10
Honduras	0.024450738395869538
India	3.2190692791168147e-10
Kenya	0.01234669996824867
Korea	3.2190692791168147e-10
Madagascar	0.044434911463211574
Malaysia	0.06317087113198398
Mexico	0.05053549598684479
New Zealand	3.2190692791168147e-10
Norway	3.2190692791168147e-10
Pakistan	0.03553347148950528
Panama	3.2190692791168147e-10
Papua New Guinea	0.07852459067237313
Philippines	3.2190692791168147e-10
Puerto Rico	3.2190692791168147e-10
Saudi Arabia	0.024535539044110405
Slovakia	3.2190692791168147e-10
South Africa	0.06832720858902207
South Korea	3.2190692791168147e-10
Spain	0.03554998460271521
Thailand	3.2190692791168147e-10
USA	0.024476728760036877
United Kingdom	0.00032190692791168147
