parameter	value
pastml_version	1.9.20
character	Country
log_likelihood	-1856.6567123332263
log_likelihood_restricted_JOINT	-1919.8167771412911
log_likelihood_restricted_MAP	-1940.1160841472602
log_likelihood_restricted_MPPA	-1882.138355664176
method	MPPA
model	F81
num_nodes	1594
num_scenarios	1.65938e+41
num_states_per_node_avg	1.1003764115432872
num_tips	802
num_unresolved_nodes	111
percentage_of_unresolved_nodes	6.963613550815558
scaling_factor	0.01648912717943769
state_changes_per_avg_branch	0.2995724647905018
Australia	0.049863463795077584
Bangladesh	0.01993131683585702
Belarus	0.00253123864961749
Belize	1.1740485676118095e-10
Brazil	1.1740485676118095e-10
Bulgaria	0.009834683063029152
Canada	0.10341841859520988
China	0.02937467724697788
Costa Rica	0.06131729121540299
Czech Republic	1.1740485676118095e-10
Denmark	1.1740485676118095e-10
Ecuador	1.1740485676118095e-10
Egypt	0.0025313726666528038
Finland	1.1740485676118095e-10
French Guiana	0.002530749392190356
Gabon	0.07406827206221198
Germany	0.033439680648110676
Greece	1.1740485676118095e-10
Greenland	1.1740485676118095e-10
Honduras	0.08568289512163757
India	1.1740485676118095e-10
Kenya	0.02069454930188654
Korea	1.1740485676118095e-10
Madagascar	0.031734035702342754
Malaysia	0.09617320927956097
Mexico	0.08336861382936298
New Zealand	1.1740485676118095e-10
Norway	1.1740485676118095e-10
Pakistan	0.011087157498528233
Panama	0.12066765599488784
Papua New Guinea	0.05241387089805086
Philippines	0.005532737804502216
Puerto Rico	0.0021617670908127265
Saudi Arabia	1.1740485676118095e-10
Slovakia	0.002531995944646963
South Africa	0.012491678706887457
South Korea	1.1740485676118095e-10
Spain	0.0025313848572627363
Thailand	0.0055496560808414854
USA	0.07842022121802163
United Kingdom	0.00011740485676118097
