Family Tree	Mitogenome/Barcode	Sequence Name	Realm	Country	Subregion	Taxonomy Information	Trap Type	Life Stage	Authors	Data Submiter	Project Name	Accession Number
Anthribidae	mitogenome	BP_BEATING_PC_Adult_BIP08_D08_1723645_Anthribidae	Indomalayan	Malaysia	Poring	Anthribidae	BEATING	Adult	D Yeo		Biodiversity Initiative NHM	
Anthribidae	mitogenome	BP_BEATING_PC_Adult_BIP08_E02_1723651_Anthribidae	Indomalayan	Malaysia	Poring	Anthribidae	BEATING	Adult	D Yeo		Biodiversity Initiative NHM	
Anthribidae	mitogenome	BP_BEATING_PC_Adult_BIP09_B08_1723717_Anthribidae	Indomalayan	Malaysia	Poring	Anthribidae	BEATING	Adult	D Yeo		Biodiversity Initiative NHM	
Anthribidae	mitogenome	BP_BEATING_PD_Adult_BIP09_H06_1723787_Anthribidae	Indomalayan	Malaysia	Poring	Anthribidae	BEATING	Adult	D Yeo		Biodiversity Initiative NHM	
Anthribidae	mitogenome	BP_BEATING_PD_Adult_BIP11_B07_1723908_Anthribidae	Indomalayan	Malaysia	Poring	Anthribidae	BEATING	Adult	D Yeo		Biodiversity Initiative NHM	
Anthribidae	mitogenome	BP_MALAISE_PB_Adult_BIP01_H07_1723020_Anthribidae	Indomalayan	Malaysia	Poring	Anthribidae	MALAISE	Adult	D Yeo		Biodiversity Initiative NHM	
Anthribidae	mitogenome	BP_MALAISE_PB_Adult_BIP01_H12_1723025_Anthribidae	Indomalayan	Malaysia	Poring	Anthribidae	MALAISE	Adult	D Yeo		Biodiversity Initiative NHM	
Anthribidae	mitogenome	BP_MALAISE_PC_Adult_BIP02_D12_1723073_Anthribidae	Indomalayan	Malaysia	Poring	Anthribidae	MALAISE	Adult	D Yeo		Biodiversity Initiative NHM	
Anthribidae	mitogenome	CCCP_P2_05	Neotropic	Honduras	Cusuco National Park	Coleoptera						
Anthribidae	barcode	CNBPN569-13_Ormiscus	Nearctic	Canada	Ontario	Ormiscus						
Anthribidae	barcode	CNGBF1530-14_Choragus	Nearctic	Canada	Ontario	Choragus						
Anthribidae	barcode	CNGSF2639-15_Trigonorhinus	Nearctic	Canada	Saskatchewan	Trigonorhinus						
Anthribidae	barcode	CNRGA149-15_Eurymycter	Nearctic	Canada	Ontario	Eurymycter						
Anthribidae	barcode	CNRGC087-15_Choragus_Anthribidae_Canada_Ontario_BIOUG-ROUGE-NP	Nearctic	Canada	Ontario	Anthribidae, Choragus						
Anthribidae	barcode	CNRGE547-15_Anthribidae_Anthribidae_Canada_Ontario_BIOUG-ROUGE-NP	Nearctic	Canada	Ontario	Anthribidae						
Anthribidae	barcode	CNROF620-13_Anthribidae_Anthribidae_Canada_Ontario_BIOUG-ROUGE-NP	Nearctic	Canada	Ontario	Anthribidae						
Anthribidae	barcode	CNROQ416-13_Euparius	Nearctic	Canada	Ontario	Euparius						
Anthribidae	barcode	CNSLR035-13_Choragus	Nearctic	Canada	Ontario	Choragus						
Anthribidae	barcode	CNTIA1531-15_Trigonorhinus	Nearctic	Canada	Ontario	Trigonorhinus						
Anthribidae	barcode	GMAAD1053-16_Anthribidae_Anthribidae_Costa	Neotropic	Costa Rica	Guanacaste	Anthribidae						
Anthribidae	barcode	GMAAN086-16_Anthribidae_Anthribidae_Costa	Neotropic	Costa Rica	Guanacaste	Anthribidae						
Anthribidae	barcode	GMACB1597-15_Anthribidae_Anthribidae_Costa	Neotropic	Costa Rica	Guanacaste	Anthribidae						
Anthribidae	barcode	GMACN048-15_Anthribidae_Anthribidae_Costa	Neotropic	Costa Rica	Guanacaste	Anthribidae						
Anthribidae	barcode	GMACO089-15_Anthribidae_Anthribidae_Costa	Neotropic	Costa Rica	Guanacaste	Anthribidae						
Anthribidae	barcode	GMADV078-16_Anthribidae_Anthribidae_Costa	Neotropic	Costa Rica	Guanacaste	Anthribidae						
Anthribidae	barcode	GMAQA088-17_Anthribidae_Anthribidae_Australia_Queensland_	Australasia	Australia	Queensland	Anthribidae						
Anthribidae	barcode	GMAQA090-17_Anthribidae_Anthribidae_Australia_Queensland_	Australasia	Australia	Queensland	Anthribidae						
Anthribidae	barcode	GMAQB023-17_Anthribidae_Anthribidae_Australia_Queensland_	Australasia	Australia	Queensland	Anthribidae						
Anthribidae	barcode	GMAQB024-17_Anthribidae_Anthribidae_Australia_Queensland_	Australasia	Australia	Queensland	Anthribidae						
Anthribidae	barcode	GMAQD041-17_Anthribidae_Anthribidae_Australia_Queensland_	Australasia	Australia	Queensland	Anthribidae						
Anthribidae	barcode	GMAQD045-17_Anthribidae_Anthribidae_Australia_Queensland_	Australasia	Australia	Queensland	Anthribidae						
Anthribidae	barcode	GMAQD074-17_Anthribidae_Anthribidae_Australia_Queensland_	Australasia	Australia	Queensland	Anthribidae						
Anthribidae	barcode	GMAQE018-17_Anthribidae_Anthribidae_Australia_Queensland_	Australasia	Australia	Queensland	Anthribidae						
Anthribidae	barcode	GMAQF015-17_Anthribidae_Anthribidae_Australia_Queensland_	Australasia	Australia	Queensland	Anthribidae						
Anthribidae	barcode	GMAQL610-17_Anthribidae_Anthribidae_Australia_Queensland_	Australasia	Australia	Queensland	Anthribidae						
Anthribidae	barcode	GMAQL613-17_Anthribidae_Anthribidae_Australia_Queensland_	Australasia	Australia	Queensland	Anthribidae						
Anthribidae	barcode	GMAQL796-17_Anthribidae_Anthribidae_Australia_Queensland_	Australasia	Australia	Queensland	Anthribidae						
Anthribidae	barcode	GMAQQ029-17_Anthribidae_Anthribidae_Australia_Queensland_	Australasia	Australia	Queensland	Anthribidae						
Anthribidae	barcode	GMAQT022-17_Anthribidae_Anthribidae_Australia_Queensland_	Australasia	Australia	Queensland	Anthribidae						
Anthribidae	barcode	GMAQT027-17_Anthribidae_Anthribidae_Australia_Queensland_	Australasia	Australia	Queensland	Anthribidae						
Anthribidae	barcode	GMASE056-17_Anthribidae_Anthribidae_Australia_South	Australasia	Australia	South Australia	Anthribidae						
Anthribidae	barcode	GMBCA5730-15_Anthribidae_Anthribidae_Bangladesh_Chittagong_BIOUG-BANGLADESH	Indomalayan	Bangladesh	Chittagong	Anthribidae						
Anthribidae	barcode	GMBCB3737-15_Anthribidae_Anthribidae_Bangladesh_Chittagong_BIOUG-BANGLADESH	Indomalayan	Bangladesh	Chittagong	Anthribidae						
Anthribidae	barcode	GMBCC1766-15_Anthribidae_Anthribidae_Bangladesh_Chittagong_BIOUG-BANGLADESH	Indomalayan	Bangladesh	Chittagong	Anthribidae						
Anthribidae	barcode	GMBCC2707-15_Araecerus	Indomalayan	Bangladesh	Chittagong	Araecerus						
Anthribidae	barcode	GMBCD2768-15_Anthribidae_Anthribidae_Bangladesh_Chittagong_BIOUG-BANGLADESH	Indomalayan	Bangladesh	Chittagong	Anthribidae						
Anthribidae	barcode	GMBCD2781-15_Anthribidae_Anthribidae_Bangladesh_Chittagong_BIOUG-BANGLADESH	Indomalayan	Bangladesh	Chittagong	Anthribidae						
Anthribidae	barcode	GMBCF5659-15_Anthribidae_Anthribidae_Bangladesh_Chittagong_BIOUG-BANGLADESH	Indomalayan	Bangladesh	Chittagong	Anthribidae						
Anthribidae	barcode	GMBCG252-15_Anthribidae_Anthribidae_Bangladesh_Chittagong_BIOUG-BANGLADESH	Indomalayan	Bangladesh	Chittagong	Anthribidae						
Anthribidae	barcode	GMBCJ2982-15_Anthribidae_Anthribidae_Bangladesh_Chittagong_BIOUG-BANGLADESH	Indomalayan	Bangladesh	Chittagong	Anthribidae						
Anthribidae	barcode	GMBCM4224-15_Anthribidae_Anthribidae_Bangladesh_Chittagong_BIOUG-BANGLADESH	Indomalayan	Bangladesh	Chittagong	Anthribidae						
Anthribidae	barcode	GMBCN745-15_Anthribidae_Anthribidae_Bangladesh_Chittagong_BIOUG-BANGLADESH	Indomalayan	Bangladesh	Chittagong	Anthribidae						
Anthribidae	barcode	GMBMI227-17_Dissoleucas	Palearctic	Belarus	Minskaya Voblasts	Dissoleucas						
Anthribidae	barcode	GMBMJ002-17_Anthribinae_Anthribidae_Belarus_Minskaya	Palearctic	Belarus	Minskaya Voblasts	Anthribinae						
Anthribidae	barcode	GMBMJ1807-17_Anthribus	Palearctic	Belarus	Minskaya Voblasts	Anthribus						
